gen,time,evals,best_fit,best_size,pop_size
1,2.074666,58584,0.002331,12,1024
2,4.502764,129663,0.001927,12,1024
3,6.610253,192464,0.000901,12,1024
4,9.186376,263509,0.000741,13,1024
5,13.340321,359488,0.000634,14,1024
6,16.771751,429581,0.000634,14,1024
7,19.955873,495662,0.000634,14,1024
8,23.230954,563890,0.000634,14,1024
9,26.48891,632327,0.000634,14,1024
10,29.666395,700728,0.000634,14,1024
11,32.853889,768862,0.000634,14,1024
12,36.039001,837319,0.000634,14,1024
13,39.251828,905743,0.000634,14,1024
14,42.436881,973442,0.000634,14,1024
15,45.581051,1040017,0.000634,14,1024
