gen,time,evals,best_fit,best_size,pop_size
1,0.506973,23901,0.010092,5,1024
2,1.068462,60469,0.005059,8,1024
3,1.618706,95314,0.004715,11,1024
4,2.071138,117272,0.003254,13,1024
5,2.536293,141517,0.002371,12,1024
6,2.912819,153459,0.002371,12,1024
7,3.313393,166955,0.002371,12,1024
8,3.76743,189931,0.002296,12,1024
9,4.186607,208016,0.002296,12,1024
10,4.579958,218370,0.00153,16,1024
11,4.990844,228215,0.00153,16,1024
12,5.402406,238012,0.001256,14,1024
13,5.816848,252971,0.001123,14,1024
14,6.29226,277660,0.0011,15,1024
15,6.803742,304219,0.0011,15,1024
16,7.25246,320359,0.001041,13,1024
17,7.690653,336100,0.000861,13,1024
18,8.087989,350810,0.00086,13,1024
19,8.530929,367340,0.00086,13,1024
20,8.962722,383697,0.00086,13,1024
21,9.399818,399771,0.00086,13,1024
22,9.824463,414590,0.00086,15,1024
23,10.262602,426999,0.00086,13,1024
24,10.678069,439017,0.00086,13,1024
25,11.130338,456996,0.00086,13,1024
26,11.598422,474218,0.00086,13,1024
27,12.02921,490251,0.00086,13,1024
28,12.450367,500137,0.00086,13,1024
29,12.844446,511914,0.00086,13,1024
30,13.244709,526582,0.00086,13,1024
31,13.650423,537103,0.00086,13,1024
32,14.053626,547658,0.00086,13,1024
33,14.453355,557201,0.00086,13,1024
34,14.874908,567152,0.00086,13,1024
35,15.27915,577639,0.00086,13,1024
36,15.730381,588100,0.00086,13,1024
37,16.148427,598737,0.00086,13,1024
38,16.538015,609289,0.00086,13,1024
39,16.90641,618271,0.00086,13,1024
40,17.288942,628299,0.00086,13,1024
41,17.693661,638934,0.00086,13,1024
42,18.123053,649601,0.00086,13,1024
43,18.554916,664478,0.00086,13,1024
44,18.962139,677536,0.00086,13,1024
45,19.374935,688097,0.00086,13,1024
46,19.78745,698687,0.00086,13,1024
47,20.203131,708806,0.00086,13,1024
48,20.605939,719230,0.00086,13,1024
49,21.026897,729716,0.00086,13,1024
50,21.432804,739170,0.00086,13,1024
51,21.838444,749713,0.00086,13,1024
52,22.260217,760218,0.00086,13,1024
53,22.67355,770702,0.00086,13,1024
54,23.091913,780755,0.00086,13,1024
55,23.501815,790822,0.00086,13,1024
56,23.899166,801236,0.00086,13,1024
57,24.306885,811654,0.00086,13,1024
58,24.722385,822188,0.00086,13,1024
59,25.113749,831577,0.00086,13,1024
60,25.4994,842091,0.00086,13,1024
61,25.904481,852637,0.00086,13,1024
62,26.291809,861585,0.00086,13,1024
63,26.734975,871470,0.00086,13,1024
64,27.157394,880913,0.00086,13,1024
65,27.563719,891449,0.00086,13,1024
66,27.953496,901528,0.00086,13,1024
67,28.367983,911975,0.00086,13,1024
68,28.794278,922433,0.00086,13,1024
69,29.210689,932873,0.00086,13,1024
70,29.609694,943449,0.00086,13,1024
71,29.989773,952971,0.00086,13,1024
72,30.394551,963015,0.00086,13,1024
73,30.808841,973587,0.00086,13,1024
74,31.210647,984050,0.00086,13,1024
75,31.622279,994620,0.00086,13,1024
76,32.055223,1005049,0.00086,13,1024
