gen,time,evals,best_fit,best_size,pop_size
1,0.80353,52264,0.003266,9,1024
2,1.670379,122123,0.000466,9,1024
3,2.442818,174763,0.000466,9,1024
4,3.294126,232082,0.000466,9,1024
5,4.281557,311605,0.000362,15,1024
6,5.278758,390223,0.000353,15,1024
7,6.191819,457517,0.000348,14,1024
8,7.192657,529863,0.000279,13,1024
9,8.159824,602352,0.000275,13,1024
10,9.127619,671935,0.000275,13,1024
11,10.107821,742808,0.000264,17,1024
12,11.077715,809649,0.000245,17,1024
13,12.00775,872566,0.000244,17,1024
14,12.947432,937040,0.000241,17,1024
15,13.890714,1001388,0.000241,17,1024
