gen,time,evals,best_fit,best_size,pop_size
1,0.974413,64926,0.005929,20,1024
2,2.125835,150088,0.001838,12,1024
3,3.343128,241685,0.001838,12,1024
4,4.595738,336916,0.001496,12,1024
5,5.898285,433565,0.001489,12,1024
6,7.121855,511050,0.00148,12,1024
7,8.353001,582324,0.001478,12,1024
8,9.532097,653399,0.001477,13,1024
9,10.712037,724258,0.001472,13,1024
10,11.884036,795248,0.001472,13,1024
11,13.096542,865102,0.001468,13,1024
12,14.275066,934291,0.001468,13,1024
13,15.440115,1002942,0.001464,13,1024
