gen,time,evals,best_fit,best_size,pop_size
1,0.523693,25451,0.005543,6,1024
2,1.048741,61581,0.004845,20,1024
3,1.561105,98243,0.002328,11,1024
4,2.042358,129125,0.002328,11,1024
5,2.518122,158553,0.002079,22,1024
6,3.016263,193010,0.000605,23,1024
7,3.472501,216998,0.000605,23,1024
8,3.974278,246007,0.000605,23,1024
9,4.485135,275112,0.000605,23,1024
10,4.97609,305351,0.000517,24,1024
11,5.4361,333477,0.000517,23,1024
12,5.899311,362940,0.000517,23,1024
13,6.322944,384050,0.000517,23,1024
14,6.685735,397425,0.000517,23,1024
15,7.052007,407283,0.000517,23,1024
16,7.379637,410613,0.000517,23,1024
17,7.720079,412583,0.000517,23,1024
18,8.069283,414559,0.000517,23,1024
19,8.40416,416536,0.000517,23,1024
20,8.702044,418511,0.000517,23,1024
21,8.984658,420496,0.000517,23,1024
22,9.297731,422484,0.000517,23,1024
23,9.624658,424508,0.000517,23,1024
24,9.937334,426845,0.000517,23,1024
25,10.266681,431903,0.000517,23,1024
26,10.599957,438080,0.000517,23,1024
27,10.915241,440070,0.000517,23,1024
28,11.254351,442049,0.000515,23,1024
29,11.605408,444096,0.000515,23,1024
30,11.906417,446731,0.000515,23,1024
31,12.231857,452695,0.000515,23,1024
32,12.54808,457290,0.000514,23,1024
33,12.860007,459910,0.000514,23,1024
34,13.210704,465721,0.000514,23,1024
35,13.593072,475518,0.000514,23,1024
36,13.940061,484626,0.000514,23,1024
37,14.2353,488944,0.000514,23,1024
38,14.555955,490921,0.000514,23,1024
39,14.893706,492914,0.000514,23,1024
40,15.211787,494914,0.000514,23,1024
41,15.508505,496890,0.000514,23,1024
42,15.820799,498888,0.000514,23,1024
43,16.140589,500867,0.000425,23,1024
44,16.458081,502925,0.000425,23,1024
45,16.77098,506049,0.000425,23,1024
46,17.134191,513884,0.00041,23,1024
47,17.481717,520623,0.00041,23,1024
48,17.79843,523283,0.000371,23,1024
49,18.142339,529586,0.000371,23,1024
50,18.490974,537487,0.000371,23,1024
51,18.854009,547351,0.000371,23,1024
52,19.232678,556090,0.000371,23,1024
53,19.554053,558225,0.000367,23,1024
54,19.898444,561955,0.000354,23,1024
55,20.265344,571445,0.000354,23,1024
56,20.618399,580695,0.000348,23,1024
57,20.989775,589178,0.000315,23,1024
58,21.380166,601625,0.000315,23,1024
59,21.727147,610848,0.000304,23,1024
60,22.104752,622517,0.000304,23,1024
61,22.463069,632261,0.000304,23,1024
62,22.846408,642166,0.000302,23,1024
63,23.187144,645784,0.000302,23,1024
64,23.536814,651088,0.000302,23,1024
65,23.916577,662161,0.000301,23,1024
66,24.294949,674383,0.000301,23,1024
67,24.637058,681068,0.000301,23,1024
68,24.989711,688342,0.000288,23,1024
69,25.3727,698979,0.000288,23,1024
70,25.735469,710366,0.000274,23,1024
71,26.081649,718756,0.000255,23,1024
72,26.450823,727501,0.000245,23,1024
73,26.824828,735728,0.000245,23,1024
74,27.223163,746006,0.000237,23,1024
75,27.604135,758078,0.000231,23,1024
76,27.981485,769611,0.000231,23,1024
77,28.328103,778917,0.000225,23,1024
78,28.704332,788861,0.000222,23,1024
79,29.083797,799007,0.00022,23,1024
80,29.444541,811017,0.000213,23,1024
81,29.807236,822079,0.000211,23,1024
82,30.1669,829606,0.000209,23,1024
83,30.550715,841525,0.000209,23,1024
84,30.932119,852289,0.0002,23,1024
85,31.306909,860766,0.000199,23,1024
86,31.670063,872047,0.000199,23,1024
87,32.019572,880105,0.000199,23,1024
88,32.394764,892132,0.000199,23,1024
89,32.75695,902011,0.000197,23,1024
90,33.08208,905835,0.000197,23,1024
91,33.414516,911693,0.000193,23,1024
92,33.752888,920598,0.000188,23,1024
93,34.1226,930905,0.000188,23,1024
94,34.509153,940991,0.000188,23,1024
95,34.865743,949306,0.000188,23,1024
96,35.230293,959170,0.000186,23,1024
97,35.583648,965999,0.000183,23,1024
98,35.934961,972945,0.000183,23,1024
99,36.268593,979555,0.000182,23,1024
100,36.6205,988373,0.000182,23,1024
101,36.970734,998272,0.00018,23,1024
102,37.310131,1004834,0.00018,23,1024
