gen,time,evals,best_fit,best_size,pop_size
1,0.464804,24602,0.005023,14,1024
2,0.950818,61584,0.00369,13,1024
3,1.461465,98688,0.001235,10,1024
4,1.914864,125331,0.000857,10,1024
5,2.334189,142046,0.000715,15,1024
6,2.798258,171200,0.000709,15,1024
7,3.256822,200245,0.000706,15,1024
8,3.618496,212956,0.000706,15,1024
9,3.984516,225723,0.000706,15,1024
10,4.435258,252244,0.000706,15,1024
11,4.790101,268035,0.000706,15,1024
12,5.121991,279166,0.000706,15,1024
13,5.496315,288827,0.000706,15,1024
14,5.855672,296927,0.000706,15,1024
15,6.194165,305647,0.000706,15,1024
16,6.500325,312195,0.000706,15,1024
17,6.803898,317429,0.000706,15,1024
18,7.092502,319406,0.000706,15,1024
19,7.401579,321325,0.000706,15,1024
20,7.716714,323242,0.000706,15,1024
21,8.029007,325167,0.000706,15,1024
22,8.310638,327087,0.000706,15,1024
23,8.582336,329017,0.000706,15,1024
24,8.870404,330968,0.000706,15,1024
25,9.158726,332871,0.000706,15,1024
26,9.459493,334796,0.000706,15,1024
27,9.744734,336715,0.000706,15,1024
28,10.026832,338645,0.000706,15,1024
29,10.3142,340572,0.000706,15,1024
30,10.602604,342476,0.000706,15,1024
31,10.89875,344395,0.000706,15,1024
32,11.184322,346320,0.000706,15,1024
33,11.450661,348249,0.000706,15,1024
34,11.772291,350163,0.000706,15,1024
35,12.077006,352096,0.000706,15,1024
36,12.415332,354014,0.000706,15,1024
37,12.719844,355943,0.000706,15,1024
38,12.997412,357852,0.000706,15,1024
39,13.272395,359771,0.000706,15,1024
40,13.542664,361697,0.000706,15,1024
41,13.818128,363609,0.000706,15,1024
42,14.094201,365528,0.000706,15,1024
43,14.378404,367460,0.000706,15,1024
44,14.686376,369391,0.000706,15,1024
45,14.971018,371320,0.000706,15,1024
46,15.257312,373241,0.000706,15,1024
47,15.549238,375175,0.000706,15,1024
48,15.852084,377091,0.000706,15,1024
49,16.206688,379004,0.000706,15,1024
50,16.507013,380926,0.000706,15,1024
51,16.820094,382853,0.000706,15,1024
52,17.124461,384776,0.000706,15,1024
53,17.422594,386699,0.000706,15,1024
54,17.705201,388597,0.000706,15,1024
55,17.992724,390515,0.000706,15,1024
56,18.314333,392423,0.000706,15,1024
57,18.610965,394359,0.000706,15,1024
58,18.897645,396269,0.000706,15,1024
59,19.223978,398183,0.000706,15,1024
60,19.546816,400112,0.000706,15,1024
61,19.838348,402039,0.000706,15,1024
62,20.12011,403967,0.000706,15,1024
63,20.434449,405872,0.000706,15,1024
64,20.751425,407787,0.000706,15,1024
65,21.06601,409705,0.000706,15,1024
66,21.396631,411607,0.000706,15,1024
67,21.706333,413528,0.000706,15,1024
68,22.021314,415431,0.000706,15,1024
69,22.28609,417346,0.000706,15,1024
70,22.626548,419261,0.000706,15,1024
71,22.951442,421192,0.000706,15,1024
72,23.237833,423090,0.000706,15,1024
73,23.531461,425010,0.000706,15,1024
74,23.82154,426939,0.000706,15,1024
75,24.113038,428849,0.000706,15,1024
76,24.40302,430761,0.000706,15,1024
