gen,time,evals,best_fit,best_size,pop_size
1,0.882702,60817,0.000842,10,1024
2,1.933826,146457,0.00061,17,1024
3,2.987283,224180,0.000564,16,1024
4,3.990015,288684,0.000564,15,1024
5,5.117913,377105,0.000559,18,1024
6,6.231298,461332,0.000559,17,1024
7,7.244204,527963,0.000559,17,1024
8,8.304634,594014,0.000559,17,1024
9,9.315041,659759,0.000559,17,1024
10,10.312956,723490,0.000559,17,1024
11,11.339147,787978,0.000559,17,1024
12,12.400795,853489,0.000557,15,1024
13,13.421576,918563,0.000554,15,1024
14,14.418263,981780,0.000554,15,1024
15,15.404351,1045037,0.000554,15,1024
