gen,time,evals,best_fit,best_size,pop_size
1,0.54181,25676,0.005059,7,1024
2,1.077731,59156,0.002107,14,1024
3,1.679714,94083,0.001986,14,1024
4,2.245738,122125,0.001731,14,1024
5,2.756372,137488,0.001252,13,1024
6,3.259585,161525,0.001101,15,1024
7,3.68727,167090,0.001101,15,1024
8,4.131626,176058,0.001101,15,1024
9,4.610533,192455,0.001101,15,1024
10,5.117314,218183,0.001098,15,1024
11,5.605096,242777,0.001098,15,1024
12,6.064357,260077,0.001098,13,1024
13,6.569786,280295,0.000806,13,1024
14,7.095275,304239,0.00078,15,1024
15,7.546794,319982,0.000775,12,1024
16,7.953606,331982,0.000775,12,1024
17,8.381651,343244,0.000775,13,1024
18,8.796642,352780,0.000775,12,1024
19,9.219838,362278,0.000775,12,1024
20,9.622728,370508,0.000775,12,1024
21,10.029464,378647,0.000775,12,1024
22,10.43857,386650,0.000775,12,1024
23,10.844274,395133,0.000775,12,1024
24,11.255708,403583,0.000775,12,1024
25,11.682242,412021,0.000775,12,1024
26,12.113516,420445,0.000775,12,1024
27,12.537954,428845,0.000775,12,1024
28,12.961309,437236,0.000775,12,1024
29,13.36806,445630,0.000775,12,1024
30,13.760223,453445,0.000775,12,1024
31,14.169777,461831,0.000775,12,1024
32,14.57531,470254,0.000775,12,1024
33,14.994568,478612,0.000775,12,1024
34,15.409061,486921,0.000775,12,1024
35,15.816967,495251,0.000775,12,1024
36,16.231447,503554,0.000775,12,1024
37,16.642604,511837,0.000775,12,1024
38,17.071498,520099,0.000775,12,1024
39,17.511727,528342,0.000775,12,1024
40,17.926028,536609,0.000775,12,1024
41,18.332005,544862,0.000775,12,1024
42,18.719915,553073,0.000775,12,1024
43,19.135624,561246,0.000775,12,1024
44,19.547959,569388,0.000775,12,1024
45,19.951377,577549,0.000775,12,1024
46,20.354234,585007,0.000775,12,1024
47,20.746655,592514,0.000775,12,1024
48,21.154492,599981,0.000775,12,1024
49,21.586961,607452,0.000775,12,1024
50,21.981377,614940,0.000775,12,1024
51,22.387543,622365,0.000775,12,1024
52,22.804003,629826,0.000775,12,1024
53,23.223896,637270,0.000775,12,1024
54,23.61057,644763,0.000775,12,1024
55,23.98628,652225,0.000775,12,1024
56,24.381614,659721,0.000775,12,1024
57,24.776962,667829,0.000775,12,1024
58,25.194209,675976,0.000775,12,1024
59,25.629109,685134,0.000775,12,1024
60,26.043926,694268,0.000775,12,1024
61,26.472951,703378,0.000775,12,1024
62,26.893274,711480,0.000775,12,1024
63,27.289332,718782,0.000775,12,1024
64,27.693441,726851,0.000775,12,1024
65,28.136964,734884,0.000775,12,1024
66,28.533617,742200,0.000775,12,1024
67,28.921027,749462,0.000775,12,1024
68,29.309879,757841,0.000775,12,1024
69,29.742925,766268,0.000775,12,1024
70,30.16219,774340,0.000775,13,1024
71,30.59155,782347,0.000775,13,1024
72,30.986302,790444,0.000775,13,1024
73,31.383523,798529,0.000775,13,1024
74,31.789342,806580,0.000775,13,1024
75,32.197883,814281,0.000775,13,1024
76,32.609249,821889,0.000775,13,1024
77,33.013243,829577,0.000775,13,1024
78,33.412232,836809,0.000775,13,1024
79,33.813542,844858,0.000775,13,1024
80,34.216413,852136,0.000775,13,1024
81,34.614386,859789,0.000775,13,1024
82,35.028632,868864,0.000775,13,1024
83,35.437797,877945,0.000775,13,1024
84,35.856106,887038,0.000775,13,1024
85,36.266783,896096,0.000775,13,1024
86,36.694185,905123,0.000775,13,1024
87,37.115645,914187,0.000775,13,1024
88,37.524174,923214,0.000775,13,1024
89,37.948306,930887,0.000775,13,1024
90,38.387019,939928,0.000775,13,1024
91,38.787687,947476,0.000775,13,1024
92,39.166265,955039,0.000775,13,1024
93,39.546254,962606,0.000775,13,1024
94,39.931119,970193,0.000775,13,1024
95,40.328992,977718,0.000775,13,1024
96,40.733426,985271,0.000775,13,1024
97,41.134399,992857,0.000775,13,1024
98,41.523866,1000406,0.000775,13,1024
