gen,time,evals,best_fit,best_size,pop_size
1,0.943933,62464,0.001994,12,1024
2,1.975237,146924,0.001994,12,1024
3,2.868817,203643,0.001994,12,1024
4,3.641839,240028,0.001703,14,1024
5,4.675672,316870,0.00143,14,1024
6,5.833872,415481,0.00143,14,1024
7,6.869644,495114,0.001367,14,1024
8,7.870521,568164,0.001367,14,1024
9,8.866552,639973,0.001367,14,1024
10,9.87717,711498,0.001367,14,1024
11,10.900822,782806,0.00132,14,1024
12,11.938303,853318,0.00132,14,1024
13,12.96697,920167,0.00132,14,1024
14,13.98611,984014,0.00132,14,1024
15,15.012196,1048147,0.00132,14,1024
