gen,time,evals,best_fit,best_size,pop_size
1,0.464811,22364,0.00159,27,1024
2,0.91045,57128,0.001437,14,1024
3,1.409076,95886,0.001269,26,1024
4,1.927623,132252,0.000919,16,1024
5,2.391175,159700,0.000917,18,1024
6,2.858164,192372,0.00077,16,1024
7,3.285911,217316,0.000582,22,1024
8,3.705387,242826,0.000552,22,1024
9,4.174675,273007,0.000468,19,1024
10,4.681082,306198,0.000468,19,1024
11,5.151176,334507,0.000403,22,1024
12,5.611111,358116,0.00036,22,1024
13,6.023408,378090,0.00036,22,1024
14,6.363986,393366,0.00036,22,1024
15,6.764881,410899,0.000323,22,1024
16,7.160521,427757,0.000306,22,1024
17,7.548142,444313,0.000306,22,1024
18,7.830211,448557,0.000306,22,1024
19,8.099819,454604,0.000306,22,1024
20,8.403533,461888,0.000306,22,1024
21,8.689539,462912,0.000306,22,1024
22,8.950646,463936,0.000306,22,1024
23,9.241228,464960,0.000306,22,1024
24,9.543352,465984,0.000306,22,1024
25,9.848473,467008,0.000306,22,1024
26,10.101,468032,0.000306,22,1024
27,10.344289,469056,0.000306,22,1024
28,10.629721,470080,0.000306,22,1024
29,10.923078,471104,0.000306,22,1024
30,11.183557,472128,0.000306,22,1024
31,11.480974,473152,0.000306,22,1024
32,11.770794,474176,0.000306,22,1024
33,12.043246,475200,0.000306,22,1024
34,12.317204,476224,0.000306,22,1024
35,12.581424,477248,0.000306,22,1024
36,12.871752,478272,0.000306,22,1024
37,13.161435,479296,0.000306,22,1024
38,13.455048,480320,0.000306,22,1024
39,13.754927,481344,0.000306,22,1024
40,13.999448,482368,0.000306,22,1024
41,14.29014,483392,0.000306,22,1024
42,14.574272,484416,0.000306,22,1024
43,14.784548,485440,0.000306,22,1024
44,15.036305,486464,0.000306,22,1024
45,15.319055,487488,0.000306,22,1024
46,15.598962,488512,0.000306,22,1024
47,15.886665,489536,0.000306,22,1024
48,16.180245,490560,0.000306,22,1024
49,16.463911,491584,0.000306,22,1024
50,16.723323,492608,0.000306,22,1024
51,16.957876,493632,0.000306,22,1024
52,17.262224,494656,0.000306,22,1024
53,17.55215,495680,0.000306,22,1024
54,17.854033,496704,0.000306,22,1024
55,18.139797,497728,0.000306,22,1024
56,18.4172,498752,0.000306,22,1024
57,18.681429,499776,0.000306,22,1024
58,18.94268,500800,0.000306,22,1024
59,19.199354,501824,0.000306,22,1024
60,19.490606,502848,0.000306,22,1024
61,19.778165,503872,0.000306,22,1024
62,20.074636,504896,0.000306,22,1024
63,20.356948,505920,0.000306,22,1024
64,20.631268,506944,0.000306,22,1024
65,20.906064,507968,0.000306,22,1024
66,21.19875,508992,0.000306,22,1024
67,21.493552,510016,0.000306,22,1024
68,21.815562,511040,0.000306,22,1024
69,22.101433,512064,0.000306,22,1024
70,22.364363,513088,0.000306,22,1024
71,22.628544,514112,0.000306,22,1024
72,22.911721,515136,0.000306,22,1024
73,23.178836,516160,0.000306,22,1024
74,23.430105,517184,0.000306,22,1024
75,23.6888,518208,0.000306,22,1024
76,23.973836,519232,0.000306,22,1024
77,24.254213,520256,0.000306,22,1024
78,24.522984,521280,0.000306,22,1024
79,24.769063,522304,0.000306,22,1024
80,25.021694,523328,0.000306,22,1024
81,25.326825,524352,0.000306,22,1024
82,25.62099,525376,0.000306,22,1024
