gen,time,evals,best_fit,best_size,pop_size
1,0.862775,52649,0.000775,20,1024
2,1.787459,124269,0.000413,17,1024
3,2.749612,198251,0.000401,17,1024
4,3.729241,270228,0.00027,18,1024
5,4.878613,357381,0.000248,19,1024
6,6.142159,450401,0.000226,21,1024
7,7.431448,544512,0.000203,18,1024
8,8.681718,628920,0.000187,20,1024
9,9.986737,710053,0.000187,21,1024
10,11.260148,791544,0.000186,21,1024
11,12.569683,876151,0.00017,20,1024
12,13.910401,959536,0.000132,19,1024
13,15.246042,1043377,0.00012,19,1024
