gen,time,evals,best_fit,best_size,pop_size
1,0.4878,25191,0.00233,14,1024
2,1.001701,60839,0.001585,15,1024
3,1.582668,100143,0.000302,16,1024
4,2.147494,138400,0.000302,16,1024
5,2.71063,176889,0.000302,16,1024
6,3.25908,214257,0.000262,15,1024
7,3.812179,248078,0.000138,17,1024
8,4.265804,268333,0.000102,17,1024
9,4.68714,287323,0.000101,17,1024
10,5.144065,313426,0.000101,17,1024
11,5.602602,339906,0.000101,17,1024
12,6.038665,364099,0.0001,17,1024
13,6.478561,387739,9.9e-05,17,1024
14,6.898687,410567,9.9e-05,17,1024
15,7.294387,430807,9.9e-05,17,1024
16,7.681661,450377,9.9e-05,17,1024
17,8.056418,465264,9.9e-05,17,1024
18,8.411707,477988,9.9e-05,17,1024
19,8.782105,489277,9.9e-05,17,1024
20,9.161676,500107,9.9e-05,17,1024
21,9.551695,510672,9.9e-05,17,1024
22,9.93671,521130,9.9e-05,17,1024
23,10.3283,531455,9.9e-05,17,1024
24,10.730326,541774,9.9e-05,17,1024
25,11.117386,551035,9.9e-05,17,1024
26,11.498695,560294,9.9e-05,17,1024
27,11.86271,569558,9.9e-05,17,1024
28,12.209539,578774,9.9e-05,17,1024
29,12.564721,587990,9.9e-05,17,1024
30,12.922878,597206,9.9e-05,17,1024
31,13.290583,606422,9.9e-05,17,1024
32,13.658221,615638,9.9e-05,17,1024
33,14.018709,624854,9.9e-05,17,1024
34,14.395478,634070,9.9e-05,17,1024
35,14.765003,643286,9.9e-05,17,1024
36,15.139521,652502,9.9e-05,17,1024
37,15.51225,661718,9.9e-05,17,1024
38,15.867464,670934,9.9e-05,17,1024
39,16.224375,680150,9.9e-05,17,1024
40,16.586622,689366,9.9e-05,17,1024
41,16.94982,698582,9.9e-05,17,1024
42,17.315131,707798,9.9e-05,17,1024
43,17.685684,717014,9.9e-05,17,1024
44,18.063573,726230,9.9e-05,17,1024
45,18.434435,735446,9.9e-05,17,1024
46,18.802726,744662,9.9e-05,17,1024
47,19.168744,753878,9.9e-05,17,1024
48,19.534106,763094,9.9e-05,17,1024
49,19.892669,772310,9.9e-05,17,1024
50,20.256307,781526,9.9e-05,17,1024
51,20.624484,790742,9.9e-05,17,1024
52,20.996789,799958,9.9e-05,17,1024
53,21.373424,809174,9.9e-05,17,1024
54,21.744805,818390,9.9e-05,17,1024
55,22.124213,827606,9.9e-05,17,1024
56,22.50042,836822,9.9e-05,17,1024
57,22.86881,846038,9.9e-05,17,1024
58,23.245871,855254,9.9e-05,17,1024
59,23.633126,864470,9.9e-05,17,1024
60,23.997816,873686,9.9e-05,17,1024
61,24.36268,882902,9.9e-05,17,1024
62,24.724387,892118,9.9e-05,17,1024
63,25.090554,901334,9.9e-05,17,1024
64,25.471906,910550,9.9e-05,17,1024
65,25.845916,919766,9.9e-05,17,1024
66,26.198888,928982,9.9e-05,17,1024
67,26.55414,938198,9.9e-05,17,1024
68,26.922934,947414,9.9e-05,17,1024
69,27.294034,956630,9.9e-05,17,1024
70,27.658681,965846,9.9e-05,17,1024
71,28.024048,975062,9.9e-05,17,1024
72,28.382797,984278,9.9e-05,17,1024
73,28.750745,993494,9.9e-05,17,1024
74,29.138065,1002710,9.9e-05,17,1024
