gen,time,evals,best_fit,best_size,pop_size
1,0.88143,54266,0.001432,19,1024
2,1.786813,126388,0.001432,19,1024
3,2.759596,201501,0.001374,10,1024
4,3.741678,271930,0.000637,13,1024
5,4.771887,350573,0.000381,19,1024
6,5.757259,425159,0.000275,24,1024
7,6.686088,490583,0.000259,24,1024
8,7.681338,564258,0.00013,22,1024
9,8.713488,643261,0.000111,22,1024
10,9.612347,702210,0.00011,22,1024
11,10.495207,757833,0.000107,22,1024
12,11.363947,812912,0.000107,22,1024
13,12.279114,867243,0.000107,22,1024
14,13.161529,921555,0.000107,22,1024
15,14.056365,976875,6.3e-05,20,1024
16,14.942147,1032253,6e-05,20,1024
