gen,time,evals,best_fit,best_size,pop_size
1,0.476881,24326,0.00211,11,1024
2,0.956781,61541,0.000637,11,1024
3,1.49641,102108,0.000637,11,1024
4,2.062792,142551,0.000637,14,1024
5,2.54926,177212,0.000612,16,1024
6,3.033231,212253,0.000511,18,1024
7,3.552507,249775,0.000383,13,1024
8,4.073028,285165,0.000382,14,1024
9,4.58508,317256,0.000357,13,1024
10,5.073798,345934,0.000332,16,1024
11,5.524676,370067,0.000324,16,1024
12,5.936125,388485,0.000323,16,1024
13,6.355528,408421,0.000323,16,1024
14,6.699041,417280,0.000323,16,1024
15,7.043118,423671,0.000323,16,1024
16,7.392156,427964,0.000323,16,1024
17,7.694452,429736,0.000323,16,1024
18,7.983623,431276,0.000323,16,1024
19,8.270825,432801,0.000323,16,1024
20,8.568008,434333,0.000323,16,1024
21,8.869541,435883,0.000323,16,1024
22,9.177396,437437,0.000323,16,1024
23,9.480548,438953,0.000323,16,1024
24,9.784712,440507,0.000323,16,1024
25,10.084576,442031,0.000323,16,1024
26,10.397636,443582,0.000323,16,1024
27,10.720171,445140,0.000323,16,1024
28,11.043277,446651,0.000323,16,1024
29,11.341787,448169,0.000323,16,1024
30,11.637169,449715,0.000323,16,1024
31,11.9439,451247,0.000323,16,1024
32,12.239223,452773,0.000323,16,1024
33,12.533422,454312,0.000323,16,1024
34,12.829674,455840,0.000323,16,1024
35,13.132766,457369,0.000323,16,1024
36,13.449902,458896,0.000323,16,1024
37,13.769071,460434,0.000323,16,1024
38,14.080017,461974,0.000323,16,1024
39,14.404424,463516,0.000323,16,1024
40,14.718185,465160,0.000323,16,1024
41,15.009582,467116,0.000323,16,1024
42,15.309135,470052,0.000323,16,1024
43,15.624465,473612,0.000323,16,1024
44,15.928697,475233,0.000323,16,1024
45,16.249159,476756,0.000323,16,1024
46,16.572389,478274,0.000323,16,1024
47,16.887314,479831,0.000323,16,1024
48,17.197129,481384,0.000323,16,1024
49,17.50191,482934,0.000323,16,1024
50,17.810812,484453,0.000323,16,1024
51,18.132829,485980,0.000323,16,1024
52,18.453595,487505,0.000323,16,1024
53,18.761898,489048,0.000323,16,1024
