gen,time,evals,best_fit,best_size,pop_size
1,0.49145,22241,0.009057,17,1024
2,1.012368,54891,0.008293,11,1024
3,1.640793,91898,0.002643,11,1024
4,2.260503,127689,0.002053,11,1024
5,2.885388,162893,0.001893,11,1024
6,3.532713,198402,0.001732,11,1024
7,4.147873,228197,0.001732,11,1024
8,4.647545,250298,0.001732,11,1024
9,5.036046,258308,0.001732,11,1024
10,5.393199,267385,0.001732,11,1024
11,5.755263,277065,0.001694,11,1024
12,6.139293,288256,0.001694,11,1024
13,6.528557,299176,0.001694,11,1024
14,6.850912,307431,0.001694,11,1024
15,7.141995,312522,0.001694,11,1024
16,7.430146,317590,0.001694,11,1024
17,7.736692,322484,0.001694,11,1024
18,8.022823,326925,0.001694,11,1024
19,8.312601,330501,0.001694,11,1024
20,8.588356,334150,0.001694,11,1024
21,8.856389,337231,0.001694,11,1024
22,9.130118,340328,0.001694,11,1024
23,9.404128,343420,0.001694,11,1024
24,9.686521,346494,0.001694,11,1024
25,9.974659,349640,0.001694,11,1024
26,10.238635,352836,0.001694,11,1024
27,10.510345,356214,0.001694,11,1024
28,10.79637,359970,0.001694,11,1024
29,11.073624,364056,0.001694,11,1024
30,11.344544,367709,0.001694,11,1024
31,11.630729,370880,0.001694,11,1024
32,11.903752,373994,0.001694,11,1024
33,12.192337,377060,0.001694,11,1024
34,12.448672,380146,0.001694,11,1024
35,12.718377,383173,0.001694,11,1024
36,12.986545,386300,0.001694,11,1024
37,13.278817,389361,0.001694,11,1024
38,13.568888,392480,0.001694,11,1024
39,13.857997,395554,0.001694,11,1024
40,14.116965,398738,0.001694,11,1024
41,14.384255,401893,0.001694,11,1024
42,14.649477,405094,0.001694,11,1024
43,14.953496,408513,0.001694,11,1024
44,15.246251,412353,0.001694,11,1024
45,15.528976,416462,0.001694,11,1024
46,15.798127,419992,0.001694,11,1024
47,16.083,423254,0.001694,11,1024
48,16.356646,426359,0.001694,11,1024
49,16.663664,429963,0.001694,11,1024
50,16.986833,434553,0.001694,11,1024
51,17.304398,438590,0.001694,11,1024
52,17.602208,442719,0.001694,11,1024
53,17.90416,446844,0.001694,11,1024
54,18.228314,450934,0.001694,11,1024
55,18.540138,455054,0.001694,11,1024
56,18.849184,459700,0.001694,11,1024
57,19.165465,464274,0.001694,11,1024
58,19.493817,468882,0.001694,11,1024
59,19.828727,473566,0.001694,11,1024
60,20.145107,478199,0.001694,11,1024
61,20.448839,481793,0.001694,11,1024
62,20.767012,485348,0.001694,11,1024
63,21.100605,488944,0.001694,11,1024
64,21.394002,492486,0.001694,11,1024
65,21.708576,496113,0.001694,11,1024
66,21.998843,499708,0.001694,11,1024
67,22.321707,503800,0.001694,11,1024
68,22.630359,507370,0.001694,11,1024
69,22.939411,511009,0.001694,11,1024
70,23.243731,514604,0.001694,11,1024
71,23.557895,518169,0.001694,11,1024
72,23.871424,521812,0.001694,11,1024
73,24.183185,525375,0.001694,11,1024
74,24.518394,530559,0.001694,11,1024
75,24.851206,534125,0.001694,11,1024
76,25.154556,537707,0.001694,11,1024
77,25.479821,542364,0.001694,11,1024
78,25.792355,547509,0.001694,11,1024
79,26.092185,551140,0.001694,11,1024
80,26.400451,554676,0.001694,11,1024
81,26.747588,559717,0.001694,11,1024
82,27.067632,563298,0.001694,11,1024
83,27.377936,566813,0.001694,11,1024
84,27.675249,570364,0.001694,11,1024
85,27.974688,573967,0.001694,11,1024
86,28.314711,577640,0.001694,11,1024
87,28.631184,581223,0.001694,11,1024
88,28.928912,584828,0.001694,11,1024
89,29.229159,588430,0.001694,11,1024
90,29.528503,592013,0.001694,11,1024
91,29.869519,596107,0.001694,11,1024
92,30.173434,599757,0.001694,11,1024
93,30.482644,603331,0.001694,11,1024
94,30.788239,606972,0.001694,11,1024
95,31.117112,610561,0.001694,11,1024
96,31.423949,614177,0.001694,11,1024
97,31.741472,617756,0.001694,11,1024
98,32.044965,621359,0.001694,11,1024
99,32.357162,624967,0.001694,11,1024
100,32.682645,628564,0.001694,11,1024
101,32.996324,632201,0.001694,11,1024
102,33.289716,635941,0.001694,11,1024
103,33.593515,640045,0.001694,11,1024
104,33.921448,644815,0.001694,11,1024
105,34.264309,650240,0.001694,11,1024
106,34.581855,654342,0.001694,11,1024
107,34.911833,657885,0.001694,11,1024
108,35.226962,661468,0.001694,11,1024
109,35.534146,665062,0.001694,11,1024
110,35.851655,668643,0.001694,11,1024
111,36.172177,672178,0.001694,11,1024
112,36.503664,676374,0.001694,11,1024
113,36.825741,680297,0.001694,11,1024
114,37.129831,684771,0.001694,11,1024
115,37.478353,691397,0.001694,11,1024
