gen,time,evals,best_fit,best_size,pop_size
1,0.75634,20886,0.009902,9,1024
2,1.447166,54250,0.007295,16,1024
3,2.28546,91563,0.004451,10,1024
4,3.076798,127079,0.004451,10,1024
5,3.922154,163497,0.002332,10,1024
6,4.753939,197816,0.001491,12,1024
7,5.416341,217371,0.00126,12,1024
8,5.861825,223618,0.000496,12,1024
9,6.364449,230746,0.000481,12,1024
10,6.855121,239605,0.000373,13,1024
11,7.479748,253185,0.000314,13,1024
12,7.975904,266312,0.000314,13,1024
13,8.5113,277885,0.000314,13,1024
14,9.053277,292235,0.000314,13,1024
15,9.535867,299057,0.000314,13,1024
16,9.959182,303750,0.000314,13,1024
17,10.404665,306837,0.000314,13,1024
18,10.789309,312048,0.000314,13,1024
19,11.292393,317824,0.000314,13,1024
20,11.760961,323534,0.000314,13,1024
21,12.166114,326116,0.000314,13,1024
22,12.526523,328185,0.000314,13,1024
23,12.948355,330224,0.000314,13,1024
24,13.3379,332276,0.000314,13,1024
25,13.774711,334316,0.000314,13,1024
26,14.159872,336365,0.000314,13,1024
27,14.594092,338398,0.000314,13,1024
28,14.967693,340457,0.000314,13,1024
29,15.432616,342510,0.000314,13,1024
30,15.85015,344597,0.000314,13,1024
31,16.305766,346979,0.000314,13,1024
32,16.665585,350134,0.000314,13,1024
33,17.108654,354377,0.000314,13,1024
34,17.50655,356908,0.000314,13,1024
35,17.93656,359866,0.000314,13,1024
36,18.360659,364708,0.000314,13,1024
37,18.815595,368139,0.000314,13,1024
38,19.252629,372741,0.000314,13,1024
39,19.750018,378191,0.000314,13,1024
40,20.148401,380509,0.000314,13,1024
41,20.577849,382544,0.000314,13,1024
42,20.974545,384592,0.000314,13,1024
43,21.406823,386655,0.000314,13,1024
44,21.795187,388699,0.000314,13,1024
45,22.224558,390731,0.000314,13,1024
46,22.607152,392788,0.000314,13,1024
47,23.046905,394817,0.000314,13,1024
48,23.470198,396863,0.000314,13,1024
49,23.924302,398895,0.000314,13,1024
50,24.30339,400950,0.000314,13,1024
51,24.743581,403000,0.000314,13,1024
52,25.157628,405042,0.000314,13,1024
53,25.570991,407093,0.000314,13,1024
54,25.956285,409132,0.000314,13,1024
55,26.371934,411169,0.000314,13,1024
56,26.745077,413229,0.000314,13,1024
57,27.17294,415270,0.000314,13,1024
58,27.596323,417301,0.000314,13,1024
59,28.040629,419411,0.000314,13,1024
60,28.403699,421734,0.000314,13,1024
61,28.833832,424943,0.000314,13,1024
62,29.254603,429722,0.000314,13,1024
63,29.714306,432296,0.000314,13,1024
64,30.086503,434386,0.000314,13,1024
65,30.500739,436641,0.000314,13,1024
66,30.897697,439622,0.000314,13,1024
67,31.31679,443729,0.000314,13,1024
68,31.754963,446466,0.000314,13,1024
69,32.205567,448501,0.000314,13,1024
70,32.562065,450535,0.000314,13,1024
71,32.978928,452581,0.000314,13,1024
72,33.371893,454615,0.000314,13,1024
73,33.814797,456675,0.000314,13,1024
74,34.224176,458730,0.000314,13,1024
75,34.65304,460772,0.000314,13,1024
76,35.02573,462815,0.000314,13,1024
77,35.449418,464864,0.000314,13,1024
78,35.863132,466896,0.000314,13,1024
79,36.316245,468935,0.000314,13,1024
80,36.688776,470982,0.000314,13,1024
81,37.10531,473050,0.000314,13,1024
82,37.49422,475066,0.000314,13,1024
83,37.91889,477091,0.000314,13,1024
84,38.334332,479158,0.000314,13,1024
85,38.777485,481210,0.000314,13,1024
86,39.184435,483244,0.000314,13,1024
87,39.621943,485295,0.000314,13,1024
88,40.033397,487323,0.000314,13,1024
89,40.471481,489362,0.000314,13,1024
90,40.836934,491408,0.000314,13,1024
91,41.268623,493442,0.000314,13,1024
92,41.65375,495462,0.000314,13,1024
93,42.072514,497504,0.000314,13,1024
94,42.488401,499539,0.000314,13,1024
95,42.935129,501574,0.000314,13,1024
96,43.33525,503617,0.000314,13,1024
97,43.774762,505638,0.000314,13,1024
98,44.197109,507680,0.000314,13,1024
99,44.610473,509709,0.000314,13,1024
100,44.998552,511736,0.000314,13,1024
101,45.429322,513768,0.000314,13,1024
102,45.820786,515823,0.000314,13,1024
103,46.269684,517876,0.000314,13,1024
104,46.637448,519929,0.000314,13,1024
105,47.090409,521952,0.000314,13,1024
106,47.512546,523977,0.000314,13,1024
107,47.976253,526013,0.000314,13,1024
108,48.386434,528050,0.000314,13,1024
109,48.779824,530079,0.000314,13,1024
110,49.179689,532129,0.000314,13,1024
111,49.605089,534177,0.000314,13,1024
112,50.003775,536218,0.000314,13,1024
113,50.443923,538277,0.000314,13,1024
114,50.831907,540309,0.000314,13,1024
115,51.268274,542340,0.000314,13,1024
116,51.680506,544380,0.000314,13,1024
117,52.156091,546427,0.000314,13,1024
118,52.543538,548501,0.000314,13,1024
119,52.956539,550550,0.000314,13,1024
120,53.338529,552592,0.000314,13,1024
121,53.775467,554630,0.000314,13,1024
122,54.166874,556674,0.000314,13,1024
123,54.604174,558712,0.000314,13,1024
124,55.011435,560790,0.000314,13,1024
125,55.433675,562822,0.000314,13,1024
126,55.855091,564850,0.000314,13,1024
127,56.317829,566868,0.000314,13,1024
128,56.714394,568901,0.000314,13,1024
129,57.135918,570915,0.000314,13,1024
130,57.516685,572936,0.000314,13,1024
131,57.961447,574946,0.000314,13,1024
132,58.351935,576933,0.000314,13,1024
133,58.790204,578926,0.000314,13,1024
134,59.20938,580901,0.000314,13,1024
135,59.66862,582894,0.000314,13,1024
136,60.069352,584880,0.000314,13,1024
137,60.515822,586877,0.000314,13,1024
138,60.922238,588880,0.000314,13,1024
139,61.333027,590898,0.000314,13,1024
140,61.7343,592886,0.000314,13,1024
141,62.159762,594891,0.000314,13,1024
142,62.559037,596885,0.000314,13,1024
143,62.978423,598881,0.000314,13,1024
144,63.364347,600896,0.000314,13,1024
145,63.835185,602915,0.000314,13,1024
146,64.222253,604903,0.000314,13,1024
147,64.649421,606892,0.000314,13,1024
148,65.052923,608882,0.000314,13,1024
149,65.499382,610878,0.000314,13,1024
150,65.887449,612870,0.000314,13,1024
151,66.298093,614862,0.000314,13,1024
152,66.697122,616887,0.000314,13,1024
153,67.110288,618889,0.000314,13,1024
154,67.521585,620882,0.000314,13,1024
155,67.969783,622869,0.000314,13,1024
156,68.341923,624873,0.000314,13,1024
157,68.765377,626881,0.000314,13,1024
158,69.142912,628887,0.000314,13,1024
159,69.594936,630864,0.000314,13,1024
160,70.010226,632859,0.000314,13,1024
161,70.417398,634872,0.000314,13,1024
162,70.809684,636895,0.000314,13,1024
163,71.22549,638871,0.000314,13,1024
164,71.6432,640839,0.000314,13,1024
165,72.080486,642856,0.000314,13,1024
166,72.443836,644834,0.000314,13,1024
167,72.881997,646832,0.000314,13,1024
168,73.254375,648846,0.000314,13,1024
169,73.703329,650849,0.000314,13,1024
170,74.119333,652846,0.000314,13,1024
171,74.56515,654863,0.000314,13,1024
172,74.941399,656878,0.000314,13,1024
173,75.366204,658866,0.000314,13,1024
174,75.784544,660870,0.000314,13,1024
175,76.192856,662873,0.000314,13,1024
176,76.570463,664869,0.000314,13,1024
177,76.994648,666884,0.000314,13,1024
178,77.394598,668896,0.000314,13,1024
179,77.836763,670921,0.000314,13,1024
180,78.244656,672944,0.000314,13,1024
181,78.699388,674943,0.000314,13,1024
182,79.079793,676953,0.000314,13,1024
183,79.541672,678962,0.000314,13,1024
184,79.94385,680972,0.000314,13,1024
185,80.355013,682994,0.000314,13,1024
186,80.745111,685010,0.000314,13,1024
187,81.155761,687010,0.000314,13,1024
188,81.557667,689021,0.000314,13,1024
189,82.001342,691040,0.000314,13,1024
190,82.391323,693056,0.000314,13,1024
191,82.844153,695076,0.000314,13,1024
192,83.256044,697111,0.000314,13,1024
193,83.709741,699116,0.000314,13,1024
194,84.086605,701102,0.000314,13,1024
195,84.49505,703121,0.000314,13,1024
196,84.890645,705134,0.000314,13,1024
197,85.303808,707159,0.000314,13,1024
198,85.710958,709155,0.000314,13,1024
199,86.154379,711174,0.000314,13,1024
200,86.551082,713178,0.000314,13,1024
201,86.98359,715183,0.000314,13,1024
202,87.410948,717177,0.000314,13,1024
203,87.871474,719174,0.000314,13,1024
204,88.240007,721183,0.000314,13,1024
205,88.648172,723198,0.000314,13,1024
206,89.039716,725199,0.000314,13,1024
207,89.463197,727195,0.000314,13,1024
208,89.866719,729188,0.000314,13,1024
209,90.306498,731184,0.000314,13,1024
210,90.716239,733194,0.000314,13,1024
211,91.159164,735189,0.000314,13,1024
212,91.570013,737212,0.000314,13,1024
213,92.016804,739218,0.000314,13,1024
214,92.429849,741210,0.000314,13,1024
215,92.837548,743208,0.000314,13,1024
216,93.21955,745217,0.000314,13,1024
217,93.654753,747201,0.000314,13,1024
218,94.044286,749210,0.000314,13,1024
219,94.479069,751221,0.000314,13,1024
220,94.860493,753214,0.000314,13,1024
221,95.31755,755218,0.000314,13,1024
222,95.728157,757216,0.000314,13,1024
223,96.141384,759210,0.000314,13,1024
224,96.559257,761216,0.000314,13,1024
225,97.001692,763216,0.000314,13,1024
226,97.385043,765222,0.000314,13,1024
227,97.81751,767237,0.000314,13,1024
228,98.213089,769245,0.000314,13,1024
229,98.649849,771248,0.000314,13,1024
230,99.05552,773267,0.000314,13,1024
231,99.508016,775278,0.000314,13,1024
232,99.909963,777291,0.000314,13,1024
233,100.316137,779293,0.000314,13,1024
234,100.725307,781307,0.000314,13,1024
235,101.170112,783305,0.000314,13,1024
236,101.593408,785326,0.000314,13,1024
237,102.022881,787316,0.000314,13,1024
238,102.402494,789317,0.000314,13,1024
239,102.834541,791328,0.000314,13,1024
240,103.240811,793321,0.000314,13,1024
241,103.688452,795333,0.000314,13,1024
242,104.082303,797298,0.000314,13,1024
243,104.507766,799309,0.000314,13,1024
244,104.894065,801323,0.000314,13,1024
245,105.340579,803393,0.000314,13,1024
246,105.772455,805622,0.000314,13,1024
247,106.243108,809938,0.000314,13,1024
248,106.68694,816361,0.000314,13,1024
249,107.134957,818380,0.000314,13,1024
250,107.564593,820407,0.000314,13,1024
251,107.989799,822414,0.000314,13,1024
252,108.379888,824407,0.000314,13,1024
253,108.827525,826434,0.000314,13,1024
254,109.213029,828418,0.000314,13,1024
255,109.653149,830441,0.000314,13,1024
256,110.077302,832467,0.000314,13,1024
257,110.536156,834467,0.000314,13,1024
258,110.946866,836475,0.000314,13,1024
259,111.378198,838477,0.000314,13,1024
260,111.802217,840484,0.000314,13,1024
261,112.200368,842465,0.000314,13,1024
262,112.613872,844466,0.000314,13,1024
263,113.063202,846465,0.000314,13,1024
264,113.464194,848464,0.000314,13,1024
265,113.917977,850471,0.000314,13,1024
266,114.310904,852476,0.000314,13,1024
267,114.778793,854481,0.000314,13,1024
