gen,time,evals,best_fit,best_size,pop_size
1,0.719944,21912,0.009544,12,1024
2,1.378893,55474,0.007508,18,1024
3,2.150456,92614,0.002197,23,1024
4,2.965629,131035,0.002197,23,1024
5,3.777819,166727,0.002197,23,1024
6,4.457465,190634,0.001518,24,1024
7,5.209249,221262,0.001518,24,1024
8,5.993346,255191,0.001518,24,1024
9,6.506737,265978,0.001518,24,1024
10,6.952315,273771,0.001518,24,1024
11,7.443073,282660,0.001518,24,1024
12,7.929022,292835,0.001518,24,1024
13,8.468817,305022,0.001518,24,1024
14,9.026939,320012,0.001518,24,1024
15,9.620882,334079,0.001518,24,1024
16,10.188103,348347,0.00146,24,1024
17,10.763245,361508,0.00146,24,1024
18,11.287109,373771,0.001162,22,1024
19,11.858489,387101,0.001162,22,1024
20,12.441665,402986,0.001162,22,1024
21,13.070141,420221,0.00115,23,1024
22,13.708118,439086,0.00115,23,1024
23,14.436974,461359,0.001066,23,1024
24,15.224446,488534,0.001066,23,1024
25,16.089262,516636,0.001017,23,1024
26,16.922162,545110,0.000781,25,1024
27,17.785673,573064,0.000781,25,1024
28,18.600883,600606,0.000659,25,1024
29,19.457721,628353,0.000659,25,1024
30,20.278718,656315,0.000641,25,1024
31,21.134118,683647,0.000641,25,1024
32,21.946179,710437,0.000638,21,1024
33,22.781813,736332,0.000638,21,1024
34,23.52691,757805,0.000626,25,1024
35,24.267611,777517,0.000451,25,1024
36,24.991471,797499,0.000451,25,1024
37,25.765634,817358,0.000451,25,1024
38,26.45755,833638,0.000451,25,1024
39,27.073232,844178,0.000451,25,1024
40,27.568837,848437,0.000451,25,1024
41,28.054442,853273,0.000451,25,1024
42,28.506142,857506,0.000384,25,1024
43,28.98062,862376,0.000384,25,1024
44,29.483913,868700,0.000384,25,1024
45,30.027018,876575,0.000376,25,1024
46,30.678745,891512,0.000374,25,1024
47,31.379851,908309,0.000368,25,1024
48,31.95455,918198,0.000367,25,1024
49,32.540036,927736,0.000346,25,1024
50,33.190842,942473,0.000342,25,1024
51,33.808199,955197,0.000342,25,1024
52,34.458071,969971,0.000342,25,1024
53,34.989924,977433,0.000342,25,1024
54,35.388705,979481,0.000342,25,1024
55,35.807156,981529,0.000342,25,1024
56,36.222741,983577,0.000342,25,1024
57,36.655033,985625,0.000342,25,1024
58,37.064186,987673,0.000342,25,1024
59,37.481246,989721,0.000342,25,1024
60,37.893489,991769,0.000342,25,1024
61,38.32279,993817,0.000342,25,1024
62,38.737498,995865,0.000342,25,1024
63,39.154376,997913,0.000342,25,1024
64,39.552526,999961,0.000342,25,1024
65,39.958212,1002009,0.000342,25,1024
