gen,time,evals,best_fit,best_size,pop_size
1,1.847933,44809,0.640349,16,1024
2,3.845567,101802,0.584064,19,1024
3,6.64748,168377,0.455037,19,1024
4,9.247226,239312,0.403583,19,1024
5,11.904033,321269,0.308185,23,1024
6,14.081018,396723,0.232548,23,1024
7,16.266344,466438,0.225483,23,1024
8,18.531542,536745,0.199682,23,1024
9,21.06024,610740,0.178306,23,1024
10,23.535315,683577,0.146342,20,1024
11,26.024957,751154,0.122937,23,1024
12,28.346534,817557,0.082754,22,1024
13,30.814667,885972,0.076852,22,1024
14,33.355521,958482,0.07421,21,1024
15,35.940254,1029841,0.071044,21,1024
