gen,time,evals,best_fit,best_size,pop_size
1,1.860961,47726,0.023238,12,1024
2,3.404894,90026,0.018123,17,1024
3,5.297687,135627,0.017443,17,1024
4,7.774991,198689,0.012437,11,1024
5,10.79409,265017,0.009828,20,1024
6,14.731201,347933,0.007797,18,1024
7,18.800545,433267,0.007449,18,1024
8,22.352929,503102,0.007449,18,1024
9,25.76388,571068,0.007449,18,1024
10,29.331623,640366,0.007405,17,1024
11,33.132543,716254,0.007386,21,1024
12,36.927092,789545,0.007266,20,1024
13,40.858326,864574,0.007156,22,1024
14,45.105859,943740,0.007156,22,1024
15,49.59461,1023299,0.007156,22,1024
