gen,time,evals,best_fit,best_size,pop_size
1,1.155213,23854,0.01761,14,1024
2,2.211937,49177,0.01349,17,1024
3,3.464655,80515,0.012286,14,1024
4,5.233447,118979,0.007628,14,1024
5,7.010018,151614,0.00751,20,1024
6,8.623334,180778,0.00751,20,1024
7,9.651781,194741,0.007475,19,1024
8,10.347645,201653,0.007469,19,1024
9,10.956626,206195,0.007469,19,1024
10,11.564261,211456,0.007469,19,1024
11,12.203828,216772,0.007469,19,1024
12,12.690717,219655,0.007469,19,1024
13,13.285772,223425,0.007469,19,1024
14,13.725958,224928,0.007469,19,1024
15,14.173744,226601,0.007469,19,1024
16,14.629087,228693,0.007469,19,1024
17,15.102363,230699,0.007469,19,1024
18,15.545445,232740,0.007469,19,1024
19,16.039668,234735,0.007469,19,1024
20,16.454438,236182,0.007469,19,1024
21,16.931978,237647,0.007469,19,1024
22,17.359225,239082,0.007469,19,1024
23,17.805221,240520,0.007469,19,1024
24,18.202868,241898,0.007469,19,1024
25,18.660968,243293,0.007458,19,1024
26,19.078276,244593,0.007458,19,1024
27,19.524383,245905,0.007458,19,1024
28,19.938876,247178,0.007458,19,1024
29,20.382311,248415,0.007458,19,1024
30,20.801251,249656,0.007458,19,1024
31,21.253744,250936,0.007458,19,1024
32,21.689957,252184,0.007458,19,1024
33,22.126042,253473,0.007458,19,1024
34,22.564353,254800,0.007458,19,1024
35,23.031615,256158,0.007458,19,1024
36,23.474783,257561,0.007458,19,1024
37,23.927858,258932,0.007458,19,1024
38,24.406176,260416,0.007458,19,1024
39,24.863692,261902,0.007458,19,1024
40,25.298254,263412,0.007458,19,1024
41,25.766764,264868,0.007458,19,1024
42,26.22469,266374,0.007458,19,1024
43,26.710552,267967,0.007458,19,1024
44,27.170218,269552,0.007408,20,1024
45,27.658536,271203,0.007408,20,1024
46,28.134725,273001,0.007408,20,1024
47,28.633415,274976,0.007408,20,1024
48,29.121327,277478,0.007408,20,1024
49,29.692317,280734,0.007408,20,1024
50,30.389706,286174,0.007397,20,1024
51,31.316087,295451,0.007294,21,1024
52,32.473028,309973,0.007294,21,1024
53,33.410642,319729,0.007243,22,1024
54,34.306466,328571,0.007203,22,1024
55,35.542466,341766,0.007203,22,1024
56,36.581069,352970,0.007203,22,1024
57,37.619693,363408,0.007203,22,1024
58,38.635977,373977,0.007203,22,1024
59,39.733215,386100,0.007203,22,1024
60,40.760218,397926,0.007203,22,1024
61,41.672145,407087,0.007203,22,1024
62,42.416666,413669,0.007203,22,1024
63,43.138419,419172,0.007203,22,1024
64,43.835712,424686,0.007203,22,1024
65,44.554254,430219,0.007203,22,1024
66,45.250939,435756,0.007203,22,1024
67,45.953529,441261,0.007203,22,1024
68,46.659703,446728,0.007203,22,1024
69,47.385573,452139,0.007203,22,1024
70,48.075082,457587,0.007203,22,1024
71,48.789248,463095,0.007203,22,1024
72,49.480385,468624,0.007203,22,1024
73,50.219057,474146,0.007203,22,1024
74,50.919972,479736,0.007203,22,1024
75,51.645632,485335,0.007203,22,1024
76,52.348036,490945,0.007203,22,1024
77,53.071975,496538,0.007203,22,1024
78,53.785539,502128,0.007203,22,1024
79,54.494934,507739,0.007203,22,1024
80,55.207071,513303,0.007203,22,1024
81,55.917801,518874,0.007203,22,1024
82,56.612545,524433,0.007203,22,1024
83,57.326689,529944,0.007203,22,1024
84,58.017136,535416,0.007203,22,1024
85,58.754233,540877,0.007203,22,1024
86,59.431204,546278,0.007203,22,1024
87,60.118512,551570,0.007203,22,1024
88,60.813349,556884,0.007203,22,1024
89,61.526839,562234,0.007203,22,1024
90,62.224138,567643,0.007203,22,1024
91,62.912966,573028,0.007203,22,1024
92,63.591897,578398,0.007203,22,1024
93,64.322429,583731,0.007203,22,1024
94,65.009147,589041,0.007203,22,1024
95,65.707586,594338,0.007203,22,1024
96,66.408263,599630,0.007203,22,1024
97,67.149915,604986,0.007203,22,1024
98,67.845301,610347,0.007203,22,1024
99,68.549659,615691,0.007203,22,1024
100,69.237556,621009,0.007203,22,1024
101,69.963797,626288,0.007203,22,1024
102,70.648403,631549,0.007203,22,1024
103,71.350511,636793,0.007203,22,1024
104,72.02857,642009,0.007203,22,1024
105,72.738417,647229,0.007203,22,1024
106,73.438782,652472,0.007203,22,1024
107,74.140008,657724,0.007203,22,1024
108,74.822781,662970,0.007203,22,1024
109,75.536512,668212,0.007203,22,1024
110,76.221253,673488,0.007203,22,1024
111,76.920919,678785,0.007203,22,1024
112,77.614349,684093,0.007203,22,1024
113,78.310279,689389,0.007203,22,1024
114,79.019014,694701,0.007203,22,1024
115,79.720763,700016,0.007203,22,1024
116,80.407013,705354,0.007203,22,1024
117,81.118627,710675,0.007203,22,1024
118,81.817736,716030,0.007203,22,1024
119,82.526535,721422,0.007203,22,1024
120,83.215513,726800,0.007203,22,1024
121,83.925433,732131,0.007203,22,1024
122,84.632646,737470,0.007203,22,1024
123,85.342677,742824,0.007203,22,1024
124,86.031333,748193,0.007203,22,1024
125,86.732741,753554,0.007203,22,1024
126,87.448029,758900,0.007203,22,1024
127,88.155983,764229,0.007203,22,1024
128,88.851672,769576,0.007203,22,1024
129,89.556096,774925,0.007203,22,1024
130,90.257007,780303,0.007203,22,1024
131,90.968809,785745,0.007203,22,1024
132,91.66191,791236,0.007203,22,1024
133,92.381636,796739,0.007203,22,1024
134,93.108585,802288,0.007203,22,1024
135,93.822319,807814,0.007203,22,1024
136,94.524588,813388,0.007203,22,1024
137,95.250409,818993,0.007203,22,1024
138,95.97406,824580,0.007203,22,1024
139,96.698374,830144,0.007203,22,1024
140,97.392244,835728,0.007203,22,1024
141,98.109347,841297,0.007203,22,1024
142,98.835397,846909,0.007203,22,1024
143,99.557397,852448,0.007203,22,1024
144,100.26768,857967,0.007203,22,1024
145,100.977767,863466,0.007203,22,1024
146,101.691486,868992,0.007203,22,1024
147,102.419023,874560,0.007203,22,1024
148,103.124233,880123,0.007203,22,1024
149,103.848632,885606,0.007203,22,1024
150,104.560376,891038,0.007203,22,1024
151,105.262522,896448,0.007203,22,1024
152,105.957,901844,0.007203,22,1024
153,106.665524,907171,0.007203,22,1024
154,107.368302,912510,0.007203,22,1024
155,108.098454,917863,0.007203,22,1024
156,108.786238,923234,0.007203,22,1024
157,109.501239,928634,0.007203,22,1024
158,110.211748,934049,0.007203,22,1024
159,110.926508,939407,0.007203,22,1024
160,111.635804,944775,0.007203,22,1024
161,112.344476,950190,0.007203,22,1024
162,113.055183,955554,0.007203,22,1024
163,113.780161,960887,0.007203,22,1024
164,114.470515,966183,0.007203,22,1024
165,115.188317,971460,0.007203,22,1024
166,115.891134,976737,0.007203,22,1024
167,116.594877,981956,0.007203,22,1024
168,117.287185,987165,0.007203,22,1024
169,117.991432,992339,0.007203,22,1024
170,118.693909,997489,0.007203,22,1024
171,119.343228,1001604,0.007203,22,1024
