gen,time,evals,best_fit,best_size,pop_size
1,1.969122,48810,0.022127,8,1024
2,3.709143,96930,0.021679,18,1024
3,6.10874,154173,0.017692,12,1024
4,8.429928,213783,0.017116,11,1024
5,11.485248,286933,0.012325,12,1024
6,15.300469,380153,0.012126,13,1024
7,19.009592,467479,0.012126,13,1024
8,22.172043,540922,0.012126,13,1024
9,25.442596,614039,0.007628,14,1024
10,29.302039,704204,0.007628,14,1024
11,32.375233,772248,0.007628,14,1024
12,35.215471,835756,0.007628,14,1024
13,38.138552,899518,0.007628,14,1024
14,40.874534,962515,0.007628,14,1024
15,42.997579,1003045,0.007628,14,1024
