gen,time,evals,best_fit,best_size,pop_size
1,1.58913,37761,0.020259,17,1024
2,3.131018,79462,0.015674,15,1024
3,4.954852,127071,0.015425,15,1024
4,7.18507,181586,0.012773,13,1024
5,9.480814,231318,0.009996,22,1024
6,12.008121,284460,0.007255,20,1024
7,14.490543,334023,0.007255,20,1024
8,16.845574,382486,0.007255,20,1024
9,18.728065,417512,0.007255,20,1024
10,19.93241,435862,0.007255,20,1024
11,20.746062,444037,0.007255,20,1024
12,21.392234,448745,0.007255,20,1024
13,21.942417,451111,0.007255,20,1024
14,22.434572,453486,0.007255,20,1024
15,22.97786,455801,0.007255,20,1024
16,23.520512,458142,0.007255,20,1024
17,24.062154,460516,0.007255,20,1024
18,24.559743,462960,0.007255,20,1024
19,25.091644,465406,0.007255,20,1024
20,25.618035,467936,0.007255,20,1024
21,26.156853,470434,0.007255,20,1024
22,26.686141,472847,0.007255,20,1024
23,27.23652,475279,0.007244,21,1024
24,27.771532,477796,0.007244,21,1024
25,28.39086,481264,0.007244,21,1024
26,29.009904,485539,0.007244,21,1024
27,29.824651,492528,0.007244,21,1024
28,31.148096,510097,0.007244,21,1024
29,34.161336,558380,0.007244,21,1024
30,38.242099,628799,0.007244,21,1024
31,41.846344,686909,0.007244,21,1024
32,45.507254,748739,0.007244,21,1024
33,49.210959,810711,0.007244,21,1024
34,52.781406,871795,0.007244,21,1024
35,56.432694,932818,0.007244,21,1024
36,59.97104,993896,0.007244,21,1024
37,63.606942,1054468,0.007244,21,1024
