gen,time,evals,best_fit,best_size,pop_size
1,1.239579,26875,0.061991,12,1024
2,2.525672,62874,0.040048,14,1024
3,3.989139,99478,0.01328,13,1024
4,5.32267,136535,0.006468,14,1024
5,6.75865,171794,0.005769,18,1024
6,7.605729,188136,0.005769,18,1024
7,8.642453,211184,0.003912,24,1024
8,9.685507,236972,0.003354,21,1024
9,10.684611,255122,0.003077,21,1024
10,11.665704,273424,0.002049,23,1024
11,12.67163,290876,0.002048,23,1024
12,13.707426,309399,0.001583,21,1024
13,15.182132,330684,0.001291,20,1024
14,16.412911,355722,0.001217,22,1024
15,17.761835,379977,0.001215,22,1024
16,18.884393,403308,0.001163,23,1024
17,20.135495,427488,0.001161,23,1024
18,21.314457,451739,0.001159,23,1024
19,22.473065,472240,0.001157,23,1024
20,23.424588,487516,0.001154,23,1024
21,24.202312,497989,0.001154,23,1024
22,24.86037,507417,0.001154,23,1024
23,25.587217,516811,0.001153,23,1024
24,26.248645,525059,0.001153,23,1024
25,26.938949,533268,0.001153,23,1024
26,27.613396,541498,0.001153,23,1024
27,28.313772,549727,0.001153,23,1024
28,28.94586,557980,0.001153,23,1024
29,29.621786,566206,0.001153,23,1024
30,30.250118,574397,0.001153,23,1024
31,30.944485,582579,0.001153,23,1024
32,31.615863,590762,0.001153,23,1024
33,32.277653,597913,0.001153,23,1024
34,32.913505,606083,0.001153,23,1024
35,33.591714,614243,0.001153,23,1024
36,34.237794,622405,0.001153,23,1024
37,34.920594,630532,0.001153,23,1024
38,35.575435,638637,0.001153,23,1024
39,36.243437,646696,0.001153,23,1024
40,36.874589,654660,0.001153,23,1024
41,37.522106,661506,0.001153,23,1024
42,38.097507,668191,0.001153,23,1024
43,38.763534,675613,0.001153,23,1024
44,39.341333,681723,0.001153,23,1024
45,39.905165,686958,0.001153,23,1024
46,40.402341,691294,0.001153,23,1024
47,40.948476,696256,0.001153,23,1024
48,41.45474,701063,0.001153,23,1024
49,41.974165,705322,0.001153,23,1024
50,42.398279,707389,0.001153,23,1024
51,42.872493,709437,0.001153,23,1024
52,43.313904,711485,0.001153,23,1024
53,43.752464,713533,0.001153,23,1024
54,44.130036,715581,0.001153,23,1024
55,44.572729,717629,0.001153,23,1024
56,44.975333,719677,0.001153,23,1024
57,45.42103,721725,0.001153,23,1024
58,45.802723,723773,0.001153,23,1024
59,46.233458,725821,0.001153,23,1024
60,46.640864,727869,0.001153,23,1024
61,47.066494,729917,0.001153,23,1024
62,47.479218,731965,0.001153,23,1024
63,47.940544,734013,0.001153,23,1024
64,48.361924,736061,0.001153,23,1024
65,48.811297,738109,0.001153,23,1024
66,49.218542,740157,0.001153,23,1024
67,49.640867,742205,0.001153,23,1024
68,50.037039,744253,0.001153,23,1024
69,50.497983,746301,0.001153,23,1024
70,50.91296,748349,0.001153,23,1024
71,51.354645,750397,0.001153,23,1024
72,51.757142,752445,0.001153,23,1024
73,52.182861,754493,0.001153,23,1024
74,52.593605,756541,0.001153,23,1024
75,53.055381,758589,0.001153,23,1024
76,53.440047,760631,0.001153,23,1024
77,53.857768,762674,0.001153,23,1024
78,54.279813,764717,0.001153,23,1024
79,54.751652,766761,0.001153,23,1024
80,55.186297,768803,0.001153,23,1024
81,55.629275,770464,0.001153,23,1024
82,56.036201,772126,0.001153,23,1024
83,56.46337,773779,0.001153,23,1024
84,56.822964,775442,0.001153,23,1024
85,57.21962,777118,0.001153,23,1024
86,57.578401,778142,0.001153,23,1024
87,57.989961,779166,0.001153,23,1024
88,58.377972,780190,0.001153,23,1024
89,58.796947,781214,0.001153,23,1024
90,59.15678,782238,0.001153,23,1024
91,59.555908,783262,0.001153,23,1024
92,59.930984,784286,0.001153,23,1024
93,60.327874,785310,0.001153,23,1024
94,60.709938,786334,0.001153,23,1024
95,61.128554,787358,0.001153,23,1024
96,61.504368,788382,0.001153,23,1024
97,61.913703,789406,0.001153,23,1024
98,62.280124,790430,0.001153,23,1024
99,62.72033,791454,0.001153,23,1024
100,63.100566,792478,0.001153,23,1024
101,63.491852,793502,0.001153,23,1024
102,63.839734,794526,0.001153,23,1024
103,64.235215,795550,0.001153,23,1024
104,64.592527,796574,0.001153,23,1024
105,64.99008,797598,0.001153,23,1024
106,65.34395,798622,0.001153,23,1024
107,65.761178,799646,0.001153,23,1024
108,66.150253,800670,0.001153,23,1024
109,66.599829,801694,0.001153,23,1024
110,67.011861,802718,0.001153,23,1024
111,67.422639,803742,0.001153,23,1024
112,67.798455,804766,0.001153,23,1024
113,68.21134,805790,0.001153,23,1024
114,68.560631,806814,0.001153,23,1024
115,68.960256,807838,0.001153,23,1024
116,69.294729,808862,0.001153,23,1024
117,69.675032,809886,0.001153,23,1024
118,70.038088,810910,0.001153,23,1024
119,70.450448,811934,0.001153,23,1024
120,70.848682,812958,0.001153,23,1024
121,71.25343,813982,0.001153,23,1024
122,71.610472,815006,0.001153,23,1024
123,72.008712,816030,0.001153,23,1024
124,72.403718,817054,0.001153,23,1024
125,72.844112,818078,0.001153,23,1024
126,73.231478,819102,0.001153,23,1024
127,73.652043,820126,0.001153,23,1024
128,74.024351,821150,0.001153,23,1024
129,74.437297,822174,0.001153,23,1024
130,74.778864,823198,0.001153,23,1024
131,75.139493,824222,0.001153,23,1024
132,75.479677,825246,0.001153,23,1024
133,75.876188,826270,0.001153,23,1024
134,76.235743,827294,0.001153,23,1024
135,76.636116,828318,0.001153,23,1024
136,77.00579,829342,0.001153,23,1024
137,77.401652,830366,0.001153,23,1024
138,77.809533,831390,0.001153,23,1024
139,78.281447,832414,0.001153,23,1024
140,78.67171,833438,0.001153,23,1024
141,79.109611,834462,0.001153,23,1024
142,79.470228,835486,0.001153,23,1024
143,79.855463,836510,0.001153,23,1024
144,80.205105,837534,0.001153,23,1024
145,80.593336,838558,0.001153,23,1024
146,80.957489,839582,0.001153,23,1024
147,81.354654,840606,0.001153,23,1024
148,81.728234,841630,0.001153,23,1024
149,82.155129,842654,0.001153,23,1024
150,82.52168,843678,0.001153,23,1024
151,82.946585,844702,0.001153,23,1024
152,83.340512,845726,0.001153,23,1024
153,83.76068,846750,0.001153,23,1024
154,84.123734,847774,0.001153,23,1024
155,84.538809,848798,0.001153,23,1024
156,84.897261,849822,0.001153,23,1024
157,85.299555,850846,0.001153,23,1024
158,85.683592,851870,0.001153,23,1024
159,86.084795,852894,0.001153,23,1024
160,86.445014,853918,0.001153,23,1024
161,86.842479,854942,0.001153,23,1024
162,87.209884,855966,0.001153,23,1024
163,87.607975,856990,0.001153,23,1024
164,87.983765,858014,0.001153,23,1024
165,88.412907,859038,0.001153,23,1024
166,88.792964,860062,0.001153,23,1024
167,89.219519,861086,0.001153,23,1024
168,89.601947,862110,0.001153,23,1024
169,89.993094,863134,0.001153,23,1024
170,90.36383,864158,0.001153,23,1024
171,90.785744,865182,0.001153,23,1024
172,91.162332,866206,0.001153,23,1024
173,91.584143,867230,0.001153,23,1024
174,91.951916,868254,0.001153,23,1024
175,92.341999,869278,0.001153,23,1024
176,92.702498,870302,0.001153,23,1024
177,93.139083,871326,0.001153,23,1024
178,93.526431,872350,0.001153,23,1024
179,93.923749,873374,0.001153,23,1024
180,94.306086,874398,0.001153,23,1024
181,94.738404,875422,0.001153,23,1024
182,95.107774,876446,0.001153,23,1024
183,95.502597,877470,0.001153,23,1024
184,95.859561,878494,0.001153,23,1024
185,96.265518,879518,0.001153,23,1024
186,96.649426,880542,0.001153,23,1024
187,97.058931,881566,0.001153,23,1024
188,97.453112,882590,0.001153,23,1024
189,97.876036,883614,0.001153,23,1024
190,98.268776,884638,0.001153,23,1024
191,98.702185,885662,0.001153,23,1024
192,99.066943,886686,0.001153,23,1024
193,99.471811,887710,0.001153,23,1024
194,99.844555,888734,0.001153,23,1024
195,100.255101,889758,0.001153,23,1024
196,100.614571,890782,0.001153,23,1024
197,101.022862,891806,0.001153,23,1024
198,101.404863,892830,0.001153,23,1024
199,101.818443,893854,0.001153,23,1024
200,102.19485,894878,0.001153,23,1024
201,102.603057,895902,0.001153,23,1024
202,103.016036,896926,0.001153,23,1024
203,103.443677,897950,0.001153,23,1024
204,103.840222,898974,0.001153,23,1024
205,104.255674,899998,0.001153,23,1024
206,104.603834,901022,0.001153,23,1024
207,105.02488,902046,0.001153,23,1024
208,105.404441,903070,0.001153,23,1024
209,105.828659,904094,0.001153,23,1024
210,106.205418,905118,0.001153,23,1024
211,106.636383,906142,0.001153,23,1024
212,107.007075,907166,0.001153,23,1024
213,107.402861,908190,0.001153,23,1024
214,107.762032,909214,0.001153,23,1024
215,108.18796,910238,0.001153,23,1024
216,108.571824,911262,0.001153,23,1024
217,109.008168,912286,0.001153,23,1024
218,109.406795,913310,0.001153,23,1024
219,109.854825,914334,0.001153,23,1024
220,110.232531,915358,0.001153,23,1024
221,110.656078,916382,0.001153,23,1024
222,111.031535,917406,0.001153,23,1024
223,111.452055,918430,0.001153,23,1024
224,111.823894,919454,0.001153,23,1024
225,112.219124,920478,0.001153,23,1024
226,112.558992,921502,0.001153,23,1024
227,112.981948,922526,0.001153,23,1024
228,113.388614,923550,0.001153,23,1024
229,113.822012,924574,0.001153,23,1024
230,114.202745,925598,0.001153,23,1024
231,114.608831,926622,0.001153,23,1024
232,114.978249,927646,0.001153,23,1024
233,115.410944,928670,0.001153,23,1024
234,115.785983,929694,0.001153,23,1024
235,116.231355,930718,0.001153,23,1024
236,116.615741,931742,0.001153,23,1024
237,117.061386,932766,0.001153,23,1024
238,117.438313,933790,0.001153,23,1024
239,117.842463,934814,0.001153,23,1024
240,118.23417,935838,0.001153,23,1024
241,118.651189,936862,0.001153,23,1024
242,119.038997,937886,0.001153,23,1024
243,119.440437,938910,0.001153,23,1024
244,119.803201,939934,0.001153,23,1024
245,120.197902,940958,0.001153,23,1024
246,120.577667,941982,0.001153,23,1024
247,121.000998,943006,0.001153,23,1024
248,121.391435,944030,0.001153,23,1024
249,121.849821,945054,0.001153,23,1024
250,122.258478,946078,0.001153,23,1024
251,122.688665,947102,0.001153,23,1024
252,123.059546,948126,0.001153,23,1024
253,123.468486,949150,0.001153,23,1024
254,123.841836,950174,0.001153,23,1024
255,124.22183,951198,0.001153,23,1024
256,124.592322,952222,0.001153,23,1024
257,124.999872,953246,0.001153,23,1024
258,125.375962,954270,0.001153,23,1024
259,125.793343,955294,0.001153,23,1024
260,126.171098,956318,0.001153,23,1024
261,126.587402,957342,0.001153,23,1024
262,126.944463,958366,0.001153,23,1024
263,127.37462,959390,0.001153,23,1024
264,127.757434,960414,0.001153,23,1024
265,128.194964,961438,0.001153,23,1024
266,128.591833,962462,0.001153,23,1024
267,129.040241,963486,0.001153,23,1024
268,129.412975,964510,0.001153,23,1024
269,129.803643,965534,0.001153,23,1024
270,130.17014,966558,0.001153,23,1024
271,130.562295,967582,0.001153,23,1024
272,130.930714,968606,0.001153,23,1024
273,131.324043,969630,0.001153,23,1024
274,131.682446,970654,0.001153,23,1024
275,132.085321,971678,0.001153,23,1024
276,132.472014,972702,0.001153,23,1024
277,132.913023,973726,0.001153,23,1024
278,133.336095,974750,0.001153,23,1024
279,133.77426,975774,0.001153,23,1024
280,134.170739,976798,0.001153,23,1024
281,134.58748,977822,0.001153,23,1024
282,134.952358,978846,0.001153,23,1024
283,135.360107,979870,0.001153,23,1024
284,135.71117,980894,0.001153,23,1024
285,136.128404,981918,0.001153,23,1024
286,136.524153,982942,0.001153,23,1024
287,136.959828,983966,0.001153,23,1024
288,137.331095,984990,0.001153,23,1024
289,137.755576,986014,0.001153,23,1024
290,138.146512,987038,0.001153,23,1024
291,138.562255,988062,0.001153,23,1024
292,138.941978,989086,0.001153,23,1024
293,139.335537,990110,0.001153,23,1024
294,139.690607,991134,0.001153,23,1024
295,140.093026,992158,0.001153,23,1024
296,140.472232,993182,0.001153,23,1024
297,140.884275,994206,0.001153,23,1024
298,141.27763,995230,0.001153,23,1024
299,141.708894,996254,0.001153,23,1024
300,142.067506,997278,0.001153,23,1024
301,142.456199,998302,0.001153,23,1024
302,142.803818,999326,0.001153,23,1024
303,143.214301,1000350,0.001153,23,1024
