gen,time,evals,best_fit,best_size,pop_size
1,0.60726,25176,0.871191,9,1024
2,1.264109,57643,0.692923,7,1024
3,1.860481,94044,0.675808,8,1024
4,2.508832,131104,0.429039,11,1024
5,3.126508,167516,0.302207,12,1024
6,3.709308,198614,0.295024,12,1024
7,4.241566,222947,0.271566,12,1024
8,4.719789,240025,0.257548,12,1024
9,5.242341,261549,0.256186,12,1024
10,5.795635,287005,0.242947,17,1024
11,6.295129,307524,0.210709,17,1024
12,6.743686,324779,0.15533,19,1024
13,7.187321,338310,0.147833,21,1024
14,7.626791,350564,0.14573,20,1024
15,8.085273,363302,0.144609,20,1024
16,8.566552,379465,0.126747,21,1024
17,9.079517,400337,0.126747,21,1024
18,9.589649,420851,0.123799,21,1024
19,10.057528,437658,0.11992,21,1024
20,10.581437,457176,0.117802,21,1024
21,11.140567,476996,0.116985,21,1024
22,11.643582,495301,0.116905,21,1024
23,12.144746,514527,0.116889,21,1024
24,12.642704,531448,0.116885,20,1024
25,13.158592,549067,0.116882,20,1024
26,13.613959,561886,0.116882,20,1024
27,14.086894,574599,0.116882,21,1024
28,14.545093,587312,0.116882,20,1024
29,14.998259,599980,0.116882,20,1024
30,15.46395,612639,0.116882,20,1024
31,15.945335,625260,0.116882,20,1024
32,16.385963,637894,0.116882,20,1024
33,16.833803,650535,0.116882,20,1024
34,17.28285,663109,0.116882,20,1024
35,17.740053,675692,0.116882,20,1024
36,18.19695,688276,0.116882,20,1024
37,18.642895,700858,0.116882,20,1024
38,19.12148,713434,0.116882,20,1024
39,19.589193,726002,0.116882,20,1024
40,20.055888,738561,0.116882,20,1024
41,20.508867,751110,0.116882,20,1024
42,20.982039,763688,0.116882,20,1024
43,21.434383,776239,0.116882,20,1024
44,21.879652,788751,0.116882,20,1024
45,22.335486,801263,0.116882,20,1024
46,22.792607,813831,0.116882,20,1024
47,23.247204,826370,0.116882,20,1024
48,23.700388,838924,0.116882,20,1024
49,24.158843,851476,0.116882,20,1024
50,24.609052,864000,0.116882,20,1024
51,25.092089,876517,0.116882,20,1024
52,25.578762,889083,0.116882,20,1024
53,26.086313,901618,0.116882,20,1024
54,26.591388,914151,0.116882,20,1024
55,27.05528,926695,0.116882,20,1024
56,27.523878,939235,0.116882,20,1024
57,27.992279,951746,0.116882,20,1024
58,28.459348,964283,0.116882,20,1024
59,28.9425,976810,0.116882,20,1024
60,29.428135,989321,0.116882,20,1024
61,29.892939,1001856,0.116882,20,1024
