gen,time,evals,best_fit,best_size,pop_size
1,0.63151,47425,0.599366,12,1024
2,1.266861,103811,0.556033,18,1024
3,2.038253,171198,0.311899,14,1024
4,2.891451,247048,0.285667,12,1024
5,3.689835,305029,0.237917,15,1024
6,4.465947,366303,0.227302,15,1024
7,5.286078,429725,0.192679,15,1024
8,6.101087,496714,0.190261,15,1024
9,7.041686,571983,0.172282,16,1024
10,7.990148,650744,0.145981,16,1024
11,8.974224,729404,0.129577,20,1024
12,9.91467,805995,0.12189,20,1024
13,10.84635,877258,0.121714,20,1024
14,11.737515,948273,0.121488,20,1024
15,12.638863,1016777,0.110136,20,1024
