gen,time,evals,best_fit,best_size,pop_size
1,0.892012,47904,0.574345,8,1024
2,1.739213,103659,0.43344,9,1024
3,2.731487,165981,0.41765,11,1024
4,3.614197,219150,0.397042,18,1024
5,4.57799,273738,0.233283,17,1024
6,5.373657,315120,0.230674,17,1024
7,6.243225,358614,0.230572,17,1024
8,7.063241,402453,0.230572,17,1024
9,7.902839,440056,0.230572,17,1024
10,8.682438,475508,0.230208,17,1024
11,9.528807,511408,0.230208,17,1024
12,10.314023,547026,0.229945,17,1024
13,11.140905,581517,0.229945,17,1024
14,11.914106,615487,0.229945,17,1024
15,12.735041,649527,0.229945,17,1024
16,13.509391,684254,0.229942,17,1024
17,14.33823,718354,0.229733,17,1024
18,15.112968,753173,0.229733,17,1024
19,15.935459,787908,0.229733,17,1024
20,16.737327,822430,0.229654,17,1024
21,17.606396,856313,0.229654,17,1024
22,18.381298,888270,0.229654,17,1024
23,19.202992,920119,0.229654,17,1024
24,19.981548,952055,0.229635,17,1024
25,20.812043,983973,0.229635,17,1024
26,21.589234,1016058,0.229635,17,1024
