gen,time,evals,best_fit,best_size,pop_size
1,0.665159,25822,0.807879,7,1024
2,1.25586,57604,0.688583,11,1024
3,1.913065,92378,0.616505,15,1024
4,2.541616,127147,0.370384,14,1024
5,3.157446,159973,0.370384,14,1024
6,3.727177,189653,0.186248,15,1024
7,4.370266,219546,0.186248,15,1024
8,4.826137,239872,0.186248,15,1024
9,5.331221,256050,0.186248,15,1024
10,5.755751,270979,0.186248,15,1024
11,6.219114,281401,0.151824,18,1024
12,6.587013,288007,0.148332,17,1024
13,7.018191,295359,0.141259,18,1024
14,7.428266,308291,0.139723,18,1024
15,7.925215,325159,0.139723,18,1024
16,8.394401,343431,0.136636,18,1024
17,8.957904,364952,0.135857,18,1024
18,9.389516,383151,0.135857,18,1024
19,9.869876,395985,0.135857,18,1024
20,10.212052,401592,0.135857,18,1024
21,10.607525,405346,0.135857,18,1024
22,10.923997,406468,0.135857,18,1024
23,11.302855,407492,0.135857,18,1024
24,11.620606,408516,0.135857,18,1024
25,11.982921,409540,0.135857,18,1024
26,12.317853,410564,0.135857,18,1024
27,12.655198,411588,0.135857,18,1024
28,12.926203,412612,0.135857,18,1024
29,13.300865,413636,0.135857,18,1024
30,13.626029,414660,0.135857,18,1024
31,13.977988,415684,0.135857,18,1024
32,14.25615,416708,0.135857,18,1024
33,14.598761,417732,0.135857,18,1024
34,14.897467,418756,0.135857,18,1024
35,15.22269,419780,0.135857,18,1024
36,15.543843,420804,0.135857,18,1024
37,15.90759,421828,0.135857,18,1024
38,16.226694,422852,0.135857,18,1024
39,16.563864,423876,0.135857,18,1024
40,16.881781,424900,0.135857,18,1024
41,17.251115,425924,0.135857,18,1024
42,17.544732,426948,0.135857,18,1024
43,17.886804,427972,0.135857,18,1024
44,18.203796,428996,0.135857,18,1024
45,18.577659,430020,0.135857,18,1024
46,18.873101,431044,0.135857,18,1024
47,19.212619,432068,0.135857,18,1024
48,19.513934,433092,0.135857,18,1024
49,19.848776,434116,0.135857,18,1024
50,20.139477,435140,0.135857,18,1024
51,20.516313,436164,0.135857,18,1024
52,20.850717,437188,0.135857,18,1024
53,21.222115,438212,0.135857,18,1024
54,21.522281,439236,0.135857,18,1024
55,21.898588,440260,0.135857,18,1024
56,22.211485,441284,0.135857,18,1024
57,22.578157,442308,0.135857,18,1024
58,22.899063,443332,0.135857,18,1024
59,23.262209,444356,0.135857,18,1024
60,23.587533,445380,0.135857,18,1024
61,23.938785,446404,0.135857,18,1024
62,24.245126,447428,0.135857,18,1024
63,24.579539,448452,0.135857,18,1024
64,24.877396,449476,0.135857,18,1024
65,25.234704,450500,0.135857,18,1024
66,25.558342,451524,0.135857,18,1024
67,25.938795,452548,0.135857,18,1024
68,26.25824,453572,0.135857,18,1024
69,26.614961,454596,0.135857,18,1024
70,26.921234,455620,0.135857,18,1024
71,27.290341,456644,0.135857,18,1024
72,27.618648,457668,0.135857,18,1024
73,27.990515,458692,0.135857,18,1024
74,28.315347,459716,0.135857,18,1024
75,28.692691,460740,0.135857,18,1024
76,28.991192,461764,0.135857,18,1024
77,29.333016,462788,0.135857,18,1024
78,29.634549,463812,0.135857,18,1024
79,29.977519,464836,0.135857,18,1024
80,30.308169,465860,0.135857,18,1024
81,30.673085,466884,0.135857,18,1024
82,31.02469,467908,0.135857,18,1024
83,31.373901,468932,0.135857,18,1024
84,31.673563,469956,0.135857,18,1024
85,32.048212,470980,0.135857,18,1024
86,32.36418,472004,0.135857,18,1024
87,32.751093,473028,0.135857,18,1024
88,33.05902,474052,0.135857,18,1024
89,33.442057,475076,0.135857,18,1024
90,33.757675,476100,0.135857,18,1024
91,34.117069,477124,0.135857,18,1024
92,34.419603,478148,0.135857,18,1024
93,34.764532,479172,0.135857,18,1024
94,35.052778,480196,0.135857,18,1024
95,35.428388,481220,0.135857,18,1024
96,35.76437,482244,0.135857,18,1024
97,36.130596,483268,0.135857,18,1024
98,36.441657,484292,0.135857,18,1024
99,36.792386,485316,0.135857,18,1024
100,37.124206,486340,0.135857,18,1024
101,37.500801,487364,0.135857,18,1024
102,37.832739,488388,0.135857,18,1024
103,38.216439,489412,0.135857,18,1024
104,38.534013,490436,0.135857,18,1024
105,38.893006,491460,0.135857,18,1024
106,39.211369,492484,0.135857,18,1024
107,39.570785,493508,0.135857,18,1024
108,39.876996,494532,0.135857,18,1024
109,40.258757,495556,0.135857,18,1024
110,40.592784,496580,0.135857,18,1024
111,41.014447,497604,0.135857,18,1024
112,41.351126,498628,0.135857,18,1024
113,41.706684,499652,0.135857,18,1024
114,42.017859,500676,0.135857,18,1024
115,42.401795,501700,0.135857,18,1024
116,42.739073,502724,0.135857,18,1024
117,43.119224,503748,0.135857,18,1024
118,43.42872,504772,0.135857,18,1024
119,43.785518,505796,0.135857,18,1024
120,44.090941,506820,0.135857,18,1024
121,44.452826,507844,0.135857,18,1024
122,44.748685,508868,0.135857,18,1024
123,45.114042,509892,0.135857,18,1024
124,45.447591,510916,0.135857,18,1024
125,45.842771,511940,0.135857,18,1024
126,46.16502,512964,0.135857,18,1024
127,46.526226,513988,0.135857,18,1024
128,46.837785,515012,0.135857,18,1024
129,47.210184,516036,0.135857,18,1024
130,47.560639,517060,0.135857,18,1024
131,47.949422,518084,0.135857,18,1024
132,48.26619,519108,0.135857,18,1024
133,48.627311,520132,0.135857,18,1024
134,48.943262,521156,0.135857,18,1024
135,49.304547,522180,0.135857,18,1024
136,49.613908,523204,0.135857,18,1024
137,49.968641,524228,0.135857,18,1024
138,50.305208,525252,0.135857,18,1024
139,50.704733,526276,0.135857,18,1024
140,51.034746,527300,0.135857,18,1024
141,51.397249,528324,0.135857,18,1024
142,51.721575,529348,0.135857,18,1024
143,52.079232,530372,0.135857,18,1024
144,52.426933,531396,0.135857,18,1024
145,52.817565,532420,0.135857,18,1024
146,53.147544,533444,0.135857,18,1024
147,53.513218,534468,0.135857,18,1024
148,53.838031,535492,0.135857,18,1024
149,54.194889,536516,0.135857,18,1024
150,54.500507,537540,0.135857,18,1024
151,54.844842,538564,0.135857,18,1024
152,55.185622,539588,0.135857,18,1024
153,55.566951,540612,0.135857,18,1024
154,55.903863,541636,0.135857,18,1024
155,56.26883,542660,0.135857,18,1024
156,56.596556,543684,0.135857,18,1024
157,56.960824,544708,0.135857,18,1024
158,57.30817,545732,0.135857,18,1024
159,57.680351,546756,0.135857,18,1024
160,58.03349,547780,0.135857,18,1024
161,58.394446,548804,0.135857,18,1024
162,58.711807,549828,0.135857,18,1024
163,59.072443,550852,0.135857,18,1024
164,59.381579,551876,0.135857,18,1024
165,59.731679,552900,0.135857,18,1024
166,60.071808,553924,0.135857,18,1024
167,60.447712,554948,0.135857,18,1024
168,60.836484,555972,0.135857,18,1024
169,61.229009,556996,0.135857,18,1024
170,61.552418,558020,0.135857,18,1024
171,61.915249,559044,0.135857,18,1024
172,62.255068,560068,0.135857,18,1024
173,62.639552,561092,0.135857,18,1024
174,63.00279,562116,0.135857,18,1024
175,63.364785,563140,0.135857,18,1024
176,63.678529,564164,0.135857,18,1024
177,64.038677,565188,0.135857,18,1024
178,64.349841,566212,0.135857,18,1024
179,64.707394,567236,0.135857,18,1024
180,65.035093,568260,0.135857,18,1024
181,65.406657,569284,0.135857,18,1024
182,65.728903,570308,0.135857,18,1024
183,66.094528,571332,0.135857,18,1024
184,66.412083,572356,0.135857,18,1024
185,66.755753,573380,0.135857,18,1024
186,67.086807,574404,0.135857,18,1024
187,67.438121,575428,0.135857,18,1024
188,67.794355,576452,0.135857,18,1024
189,68.160931,577476,0.135857,18,1024
190,68.487402,578500,0.135857,18,1024
191,68.831478,579524,0.135857,18,1024
192,69.142856,580548,0.135857,18,1024
193,69.492034,581572,0.135857,18,1024
194,69.81455,582596,0.135857,18,1024
195,70.168795,583620,0.135857,18,1024
196,70.507244,584644,0.135857,18,1024
197,70.860124,585668,0.135857,18,1024
198,71.174923,586692,0.135857,18,1024
199,71.52702,587716,0.135857,18,1024
200,71.848454,588740,0.135857,18,1024
201,72.210548,589764,0.135857,18,1024
202,72.554046,590788,0.135857,18,1024
203,72.906643,591812,0.135857,18,1024
204,73.227181,592836,0.135857,18,1024
205,73.600133,593860,0.135857,18,1024
206,73.91591,594884,0.135857,18,1024
207,74.25872,595908,0.135857,18,1024
208,74.559277,596932,0.135857,18,1024
209,74.932737,597956,0.135857,18,1024
210,75.255727,598980,0.135857,18,1024
211,75.629022,600004,0.135857,18,1024
212,75.926315,601028,0.135857,18,1024
213,76.270089,602052,0.135857,18,1024
214,76.581269,603076,0.135857,18,1024
215,76.990745,604100,0.135857,18,1024
216,77.325519,605124,0.135857,18,1024
217,77.697161,606148,0.135857,18,1024
218,78.004866,607172,0.135857,18,1024
219,78.364951,608196,0.135857,18,1024
220,78.699716,609220,0.135857,18,1024
221,79.073752,610244,0.135857,18,1024
222,79.356423,611268,0.135857,18,1024
223,79.731965,612292,0.135857,18,1024
224,80.057424,613316,0.135857,18,1024
225,80.4281,614340,0.135857,18,1024
226,80.735621,615364,0.135857,18,1024
227,81.078991,616388,0.135857,18,1024
228,81.373048,617412,0.135857,18,1024
229,81.745003,618436,0.135857,18,1024
230,82.075074,619460,0.135857,18,1024
231,82.460875,620484,0.135857,18,1024
232,82.759909,621508,0.135857,18,1024
233,83.112627,622532,0.135857,18,1024
234,83.42038,623556,0.135857,18,1024
235,83.785455,624580,0.135857,18,1024
236,84.101303,625604,0.135857,18,1024
237,84.489172,626628,0.135857,18,1024
238,84.808508,627652,0.135857,18,1024
239,85.191629,628676,0.135857,18,1024
240,85.492377,629700,0.135857,18,1024
241,85.83024,630724,0.135857,18,1024
242,86.119409,631748,0.135857,18,1024
243,86.457506,632772,0.135857,18,1024
244,86.77043,633796,0.135857,18,1024
245,87.129024,634820,0.135857,18,1024
246,87.455452,635844,0.135857,18,1024
247,87.797723,636868,0.135857,18,1024
248,88.112502,637892,0.135857,18,1024
249,88.467139,638916,0.135857,18,1024
250,88.755246,639940,0.135857,18,1024
251,89.097801,640964,0.135857,18,1024
252,89.428568,641988,0.135857,18,1024
253,89.810257,643012,0.135857,18,1024
254,90.14564,644036,0.135857,18,1024
255,90.491535,645060,0.135857,18,1024
256,90.790994,646084,0.135857,18,1024
257,91.122478,647108,0.135857,18,1024
258,91.45622,648132,0.135857,18,1024
259,91.795014,649156,0.135857,18,1024
260,92.109436,650180,0.135857,18,1024
261,92.46628,651204,0.135857,18,1024
262,92.826642,652228,0.135857,18,1024
263,93.191361,653252,0.135857,18,1024
264,93.504054,654276,0.135857,18,1024
265,93.852869,655300,0.135857,18,1024
266,94.163133,656324,0.135857,18,1024
267,94.560898,657348,0.135857,18,1024
268,94.909983,658372,0.135857,18,1024
269,95.289675,659396,0.135857,18,1024
270,95.584484,660420,0.135857,18,1024
271,95.922841,661444,0.135857,18,1024
272,96.234408,662468,0.135857,18,1024
273,96.594759,663492,0.135857,18,1024
274,96.91073,664516,0.135857,18,1024
275,97.255219,665540,0.135857,18,1024
276,97.540202,666564,0.135857,18,1024
277,97.909241,667588,0.135857,18,1024
278,98.214075,668612,0.135857,18,1024
279,98.552677,669636,0.135857,18,1024
280,98.855596,670660,0.135857,18,1024
281,99.217995,671684,0.135857,18,1024
282,99.559162,672708,0.135857,18,1024
283,99.94232,673732,0.135857,18,1024
284,100.278492,674756,0.135857,18,1024
285,100.649249,675780,0.135857,18,1024
286,100.962775,676804,0.135857,18,1024
